Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
16673.139	16674.711		T
16673.767	16674.708	X	
16675.166	16676.148	X	
16675.593	16681.837		T
16676.171	16676.596	V	
16681.08	16681.552	laugh	
16682.278	16684.712		N
16683.635	16684.855	laugh	
16685.874	16686.437		U
16686.62	16687.721		T
16689.139	16690.237		T
16690.255	16690.974		N
16693.03	16693.146		N
16693.146	16695.202		T
16695.682	16695.978		N
16695.978	16697.928		T
16696.887	16697.648	laugh	
16698.098	16699.88		T
16701.49	16702.557		T
16703.73	16704.268	X	
16710.084	16711.209		U
16714.193	16714.875		T
16714.796	16715.512	C	
16715.836	16716.509		T
16716.511	16717.725		N
16720.278	16720.951	laugh	
16720.565	16721.666		T
16721.668	16723.83		N
16726.575	16727.08	X	
16728.56	16728.952	X	
16729.431	16729.823	X	
16730.248	16731.223		T
16730.789	16731.564	laugh	
16731.855	16732.825		T
16732.403	16733.113	laugh	
16732.827	16734.348		T
16746.454	16748.6		N
16757.271	16757.655	X	
16757.955	16758.317	X	
16758.208	16759.732		T
16759.968	16763.46		T
16764.603	16767.143		T
16765.417	16766.082	X	
16767.395	16768.388		T
16769.698	16770.644	V	
16773.384	16773.385	V	
16773.385	16774.093	V	
16777.106	16778.756		N
16780.294	16780.539	X	
16781.874	16783.765		N
16786.634	16788.623		N
16789.929	16793.337	X	
16793.626	16794.878		U
16794.878	16796.414		T
16797.454	16798.856	X	
16798.109	16798.843		T
16799.826	16801.02		T
16801.393	16802.014		T
16801.403	16802.764	X	
16812.244	16812.56	V	
16812.887	16813.587	X	
16824.021	16827.891		N
16831.548	16834.95		N
16837.703	16838.985	laugh	
16838.563	16839.574		N
16840.03	16840.983	laugh	
16841.635	16843.311	laugh	
16843.521	16845.768		T
16844.879	16845.738	x	
16850.489	16851.439		T
16852.622	16854.736		N
16857.149	16857.465	X	
16857.591	16858.012	X	
16858.261	16859.263	X	
16858.446	16859.194		T
16859.464	16861.765	laugh	
16860.481	16863.22		N
16864.164	16865.278		N
16866.724	16870.707		U
16871.71	16872.902		U
16872.275	16873.474	laugh	
16875.609	16876.373	laugh	
16876.373	16877.446		T
16877.599	16878.905	laugh	
16879.682	16880.002	X	
16880.524	16881.677	X	
16882.253	16882.871	X	
16884.184	16885.47	X	
16888.258	16889.069		N
16890.024	16892.944		N
16894.546	16895.637		N
16895.911	16897.803		N
16897.856	16899.714		N
16901.09	16904.03		N
16904.674	16905.228	laugh	
16905.377	16906.898		T
16908.67	16909.543		U
16911.299	16913.098		N
16912.696	16913.13	X	
16916.481	16917.988		N
16919.829	16921.512	X	
16920.762	16921.739		N
16925.496	16926.23		N
16950.496	16952.252		
16954.029	16955.133		
16960.029	16963.153		N
16965.154	16965.781		N
16966.122	16967.668		N
16969.563	16972.506		N
