Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
37878.019	37878.211	x	
37882.317	37882.55	x	
37884.417	37884.719	x	
37886.689	37887.02	/b4/	
37892.908	37894.281		T
37904.568	37904.887	x	
37905.026	37906.57		N
37906.788	37908.449		N
37910.436	37910.925		N
37928.789	37930.656		N
37932.944	37934.852		N
37936.612	37937.093		N
37940.422	37942.359		N
37946.115	37947.328		N
37957.855	37959.169	x	
37980.677	37980.887	x	
37992.721	37992.968		N
37993.06	37993.805		N
37995.739	37997.961		N
37998.011	37998.342		N
38001.968	38002.751		N
38003.529	38003.759		U
38004.165	38004.575		N
38006.2	38006.573		N
38006.99	38008.128		U
38008.35	38008.869		U
38013.016	38015.522		T 
38018.383	38020.99		T
38022.295	38023.262		N
38026.198	38026.888		U
38028.242	38028.644		T
38036.232	38037.424		N
38039.65	38041.131		N
38041.829	38044.089		N
38045.56	38046.3		N
38046.384	38047.271		N
38048.153	38048.809		N
38048.938	38049.902		N
38050.551	38051.454		N
38051.874	38053.05		N
38053.888	38054.992		N
38056.058	38056.685		N
38057.62	38057.864		N
38060.535	38061.489		T
38063.82	38064.805		U
38070.149	38070.679		T
38073.232	38073.763		T
38076.181	38076.833		T
38079.237	38080.042		T
38082.224	38083.265		T
38083.556	38084.475		T
38084.649	38086.721		T
38087.12	38087.512		T
38094.758	38096.069		T
38097.904	38099.064		T
38099.521	38100.841		T 
38101.516	38103.252		T 
38103.781	38104.432		T
38105.133	38107.638		T
38108.309	38109.43		T
38110.48	38112.715		T
38112.941	38115.45		T
38115.785	38116.764		T
38117.067	38117.898		T
38118.196	38119.162		T
38120.935	38121.604		U
38122.296	38123.422		N
38123.54	38123.859		N
38124.69	38125.223		N
38127.664	38128.046		N
38129.008	38129.365		N
38135.4	38137.816		N
38138.06	38140.467		N
38140.877	38142.431		N
38142.57	38146.81		N
38147.791	38148.244		N
38148.564	38148.967		N
38149.567	38151.382		N
38151.747	38154.226		N
38155.434	38155.976		N
38156.014	38156.602		N
38158.417	38158.829		N
38161.059	38162.655		N
38163.796	38169.107		N
