Begin Time - ss.msec	End Time - ss.msec	Infant Phonetic Transcription	Adult Utterance Direction
26158.644	26158.942	snort	
26160.076	26162.575		T
26163.191	26163.69	x	
26171.862	26173.369		T
26173.788	26175.205		T
26175.254	26176.487		T
26176.156	26176.682	x	
26176.873	26179.266		T
26179.84	26185.358		T
26181.339	26181.979	breathing	
26182.06	26182.594	breathing	
26183.158	26185.225	breathing	
26185.856	26187.46	breathing	
26187.533	26188.536	breathing	
26188.543	26189.495	breathing	
26189.514	26190.245	x	
26190.291	26191.118	x	
26191.257	26192.607	x	
26194.637	26197.222		T
26197.886	26198.533	x	
26198.1	26199.918		T
26199.909	26201.08	breathing	
26201.714	26202.611	breathing	
26202.709	26203.533	breathing	
26203.576	26204.191	x	
26203.934	26204.777		T
26205.0	26205.631	x	
26206.09	26206.927		T
26207.186	26207.866	x	
26207.888	26209.043	x	
26209.678	26210.645		T
26211.846	26212.448	x	
26211.959	26212.114		T
26213.087	26213.589		T
26213.54	26214.358	x	
26214.412	26214.578	x	
26214.635	26215.074		T
26215.047	26215.554	breath	
26216.35	26216.497	snort	
26216.684	26217.743	/8d3]/	
26218.684	26219.451	/yug2 \/	
26221.261	26222.462	/gu y4 \/	
26222.345	26224.378		T
26223.846	26224.393	breath	
26224.472	26225.16	breathing	
26224.559	26227.344		T
26225.257	26226.412	breathing	
26226.432	26227.354	breathing	
26227.486	26227.92	breathing	
26229.429	26230.684	x	
26230.738	26232.919		T
26232.245	26233.007	breathing	
26233.153	26233.728	breathing	
26233.917	26234.454	breathing	
26234.641	26237.768		T
26237.84	26238.934	breathing	
26237.858	26240.045		T
26238.983	26240.056	breathing	
26240.102	26240.365	breath	
26240.488	26241.141	x	
26242.004	26242.343	breath	
26242.425	26242.669		U
26243.035	26244.916		U
26243.053	26243.441	breath	
26245.693	26246.045	breathing	
26246.682	26247.14	breathing	
26247.378	26248.186	x	
26248.45	26249.453	/4w1/	
26249.599	26249.832	breath	
26249.916	26250.615	x	
26250.908	26251.114	x	
26251.171	26252.686	/\ du we[/	
26253.206	26253.407	breath	
26253.621	26255.258	x	
26255.437	26256.572	/\ y4 du/	
26256.496	26257.618		T
26257.65	26259.531	x	
26260.883	26261.162	breath	
26263.716	26264.166	breath	
26263.949	26264.321		T
26264.282	26264.434	breath	
26264.516	26265.792		T
26264.526	26265.09	breathing	
26265.806	26266.76	breath	
26266.795	26267.543	breathing	
26267.893	26268.619	breathing	
26268.73	26269.675	breathing	
26269.78	26270.337	breathing	
26272.061	26273.587	breathing	
26273.607	26274.823	breathing	
26275.037	26277.451	breathing	
26278.032	26279.293		T
26287.216	26287.693	breath	
26288.257	26288.698	breath	
26288.734	26289.565	breathing	
26289.565	26290.324	breathing	
26290.329	26291.208	breathing	
26291.709	26291.977	breath	
26293.247	26294.024	breathing	
26294.071	26295.514	breathing	
26295.638	26296.366	breathing	
26296.534	26297.068	breathing	
26297.153	26297.395	breathing	
26298.302	26298.587	breath	
26299.028	26301.656	/gu wi \ du \ \ du/	
26302.038	26302.455	breath	
26302.521	26302.983	x	
26302.994	26303.21	breath	
26303.647	26306.837	breathing	
26307.073	26308.311	breathing	
26308.358	26309.452	x	
26309.532	26310.557	breathing	
26310.57	26312.122	x	
26312.298	26312.669	x	
26312.69	26312.854	breath	
26312.859	26314.242	/\ \ go[/	
26314.593	26315.504	x	
26315.502	26316.172		T
26316.335	26317.021	breathing	
26317.001	26318.146		T
26318.277	26319.318	/\ me[/	
26319.393	26320.244	x	
26320.331	26321.001	x	
26321.015	26322.055	breath	
26322.06	26323.546	x	
26323.557	26324.7	breath	
26324.738	26325.602	breathing	
26325.695	26327.679	x	
26328.092	26329.037		T
26328.253	26328.631	breath	
26329.539	26331.09	laugh	
26331.196	26332.004	/\ \ b4/	
26332.231	26332.492	breath	
26332.53	26333.231	x	
