InfantID,SegmentID,FileName,ElapsedTime,canonical_utterances,noncanonical_nonreflexive,reflexive,to_child,not_to_child,unknown
WW04,1,WW04_segment1_full.txt,4976,17,18,12,6,1,
WW04,2,WW04_segment2_full.txt,20276,15,27,10,5,5,
WW04,3,WW04_segment3_full.txt,11876,6,27,3,52,45,
WW05,4,WW05_segment1_full.txt,,,,,,,
WW05,5,WW05_segment2_full.txt,1973,9,46,9,4,37,
WW05,6,WW05_segment3_full.txt,,,,,,,
WW06,7,WW06_segment1_full.txt,39661,5,42,44,0,0,
WW06,8,WW06_segment2_full.txt,16261,3,32,13,0,14,
WW06,9,WW06_segment3_full.txt,26161,12,37,26,1,19,
WW08,10,WW08_segment1_full.txt,11578,20,13,14,68,1,
WW08,11,WW08_segment2_full.txt,7378,6,57,8,40,0,
WW08,12,WW08_segment3_full.txt,28678,16,55,18,26,0,
WW09,13,WW09_segment1_full.txt,14031,33,19,2,32,36,
WW09,14,WW09_segment2_full.txt,11031,11,21,16,49,0,
WW09,15,WW09_segment3_full.txt,28731,2,35,18,58,33,
WW10,16,WW10_segment1_full.txt,9301,13,36,19,31,3,
WW10,17,WW10_segment2_full.txt,3301,4,11,24,14,18,
WW10,18,WW10_segment3_full.txt,45001,12,12,2,55,38,
WW12,19,WW12_segment1_full.txt,36051,38,16,7,20,55,
WW12,20,WW12_segment2_full.txt,3351,21,18,7,21,0,
WW12,21,WW12_segment3_full.txt,1251,12,17,0,5,3,
WW13,22,WW13_segment1_full.txt,35158,6,40,10,71,17,
WW13,23,WW13_segment2_full.txt,41758,17,37,4,2,0,
WW13,24,WW13_segment3_full.txt,39058,16,36,4,6,1,
WW15,25,WW15_segment1_full.txt,30509,8,53,0,23,21,
WW15,26,WW15_segment2_full.txt,3509,18,33,30,20,2,
WW15,27,WW15_segment3_full.txt,14309,10,9,3,28,15,
WW18,31,WW18_segment1_full.txt,29433,0,91,0,0,0,
WW18,32,WW18_segment2_full.txt,20733,10,61,4,4,0,
WW18,33,WW18_segment3_full.txt,10833,0,29,14,22,82,
WW20,34,WW20_segment1_full.txt,11562,1,25,15,12,57,
WW20,35,WW20_segment2_full.txt,1662,4,14,8,7,10,
WW20,36,WW20_segment3_full.txt,44262,0,25,2,0,0,
WW21,37,WW21_segment1_full.txt,43429,14,38,2,13,62,
WW21,38,WW21_segment2_full.txt,55129,12,25,11,13,24,
WW21,39,WW21_segment3_full.txt,2329,12,15,4,,,
WW23,40,WW23_segment1_full.txt,44476,23,13,36,46,28,
WW23,41,WW23_segment2_full.txt,33976,10,22,0,15,47,
WW23,42,WW23_segment3_full.txt,14476,7,21,2,7,44,
WW25,43,WW25_segment1_full.txt,4751,11,21,8,78,19,
WW25,44,WW25_segment2_full.txt,2651,4,7,0,103,20,
WW25,45,WW25_segment3_full.txt,9851,35,16,1,69,20,
WW28,46,WW28_segment1_full.txt,3139,16,44,3,16,18,
WW28,47,WW28_segment2_full.txt,34939,13,25,35,16,22,
WW28,48,WW28_segment3_full.txt,37339,10,32,16,14,30,
WW33,49,WW33_segment1_full.txt,7570,4,18,6,4,7,
WW33,50,WW33_segment2_full.txt,29470,20,63,23,41,6,
WW33,51,WW33_segment3_full.txt,37870,8,13,5,21,36,
WW60,52,WW60_segment1_full.txt,8690,13,46,10,2,12,
WW60,53,WW60_segment2_full.txt,44090,13,46,5,31,15,
WW60,54,WW60_segment3_full.txt,29990,13,35,0,0,0,
WW61,55,WW61_segment1_full.txt,24058,,,,,,
WW61,56,WW61_segment2_full.txt,26158,,,,,,
WW61,57,WW61_segment3_full.txt,58,,,,,,
WW62,58,WW62_segment1_full.txt,26913,,,,,,
WW62,59,WW62_segment2_full.txt,19413,,,,,,
WW62,60,WW62_segment3_full.txt,24813,,,,,,
