"","InfantID","Event1","Event2","Event1T","Event1N","Event1C","Event1X","Event1R","Event2T","Event2N","Event2C","Event2X","Event2R","Event1Adult","Event2Adult","Event1Infant","Event2Infant","Event1CvX","Event1RvX","Event1RvC","Event2CvX","Event2RvX","Event2RvC"
"1","WW04","X","N",0,0,0,1,0,0,1,0,0,0,0,1,1,0,"0","0","NA","NA","NA","NA"
"2","WW04","N","N",0,1,0,0,0,0,1,0,0,0,1,1,0,0,"NA","NA","NA","NA","NA","NA"
"3","WW04","N","X",0,1,0,0,0,0,0,0,1,0,1,0,0,1,"NA","NA","NA","0","0","NA"
"4","WW04","X","T",0,0,0,1,0,1,0,0,0,0,0,1,1,0,"0","0","NA","NA","NA","NA"
"5","WW04","T","T",1,0,0,0,0,1,0,0,0,0,1,1,0,0,"NA","NA","NA","NA","NA","NA"
"6","WW04","T","C",1,0,0,0,0,0,0,1,0,0,1,0,0,1,"NA","NA","NA","1","NA","0"
"7","WW04","C","T",0,0,1,0,0,1,0,0,0,0,0,1,1,0,"1","NA","0","NA","NA","NA"
"8","WW04","T","T",1,0,0,0,0,1,0,0,0,0,1,1,0,0,"NA","NA","NA","NA","NA","NA"
"9","WW04","T","T",1,0,0,0,0,1,0,0,0,0,1,1,0,0,"NA","NA","NA","NA","NA","NA"
"10","WW04","T","T",1,0,0,0,0,1,0,0,0,0,1,1,0,0,"NA","NA","NA","NA","NA","NA"
"11","WW04","T","P",1,0,0,0,0,0,0,0,0,0,1,0,0,0,"NA","NA","NA","NA","NA","NA"
"12","WW04","P","C",0,0,0,0,0,0,0,1,0,0,0,0,0,1,"NA","NA","NA","1","NA","0"
"13","WW04","C","P",0,0,1,0,0,0,0,0,0,0,0,0,1,0,"1","NA","0","NA","NA","NA"
"14","WW04","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA","NA"
"15","WW04","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA","NA"
"16","WW04","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA","NA"
"17","WW04","P","U",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA","NA"
"18","WW04","U","U",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA","NA"
